plang,prompt_id,category,level,target_smells,syntax_ok,n_error_nodes,loc,n_smells,smells_found,target_covered,target_hit,model,lang
python,alternative_classes_different_interfaces_advanced_001,alternative_classes_different_interfaces,advanced,Alternative Classes with Different Interfaces,1,0,12,1,Long Parameter List,0,,codellama-7b,en
python,alternative_classes_different_interfaces_advanced_002,alternative_classes_different_interfaces,advanced,Alternative Classes with Different Interfaces,1,0,31,0,,0,,codellama-7b,en
python,alternative_classes_different_interfaces_advanced_003,alternative_classes_different_interfaces,advanced,Alternative Classes with Different Interfaces,1,0,12,0,,0,,codellama-7b,en
python,alternative_classes_different_interfaces_advanced_004,alternative_classes_different_interfaces,advanced,Alternative Classes with Different Interfaces,1,0,28,7,Magic Numbers/Strings,0,,codellama-7b,en
python,alternative_classes_different_interfaces_advanced_005,alternative_classes_different_interfaces,advanced,Alternative Classes with Different Interfaces,1,0,32,2,Long Parameter List;Magic Numbers/Strings,0,,codellama-7b,en
python,alternative_classes_different_interfaces_basic_001,alternative_classes_different_interfaces,basic,Alternative Classes with Different Interfaces,1,0,15,0,,0,,codellama-7b,en
python,alternative_classes_different_interfaces_basic_002,alternative_classes_different_interfaces,basic,Alternative Classes with Different Interfaces,1,0,8,0,,0,,codellama-7b,en
python,alternative_classes_different_interfaces_basic_003,alternative_classes_different_interfaces,basic,Alternative Classes with Different Interfaces,1,0,38,2,Long Parameter List,0,,codellama-7b,en
python,alternative_classes_different_interfaces_basic_004,alternative_classes_different_interfaces,basic,Alternative Classes with Different Interfaces,1,0,22,0,,0,,codellama-7b,en
python,alternative_classes_different_interfaces_basic_005,alternative_classes_different_interfaces,basic,Alternative Classes with Different Interfaces,1,0,21,0,,0,,codellama-7b,en
python,alternative_classes_different_interfaces_basic_006,alternative_classes_different_interfaces,basic,Alternative Classes with Different Interfaces,1,0,15,0,,0,,codellama-7b,en
python,alternative_classes_different_interfaces_intermediate_001,alternative_classes_different_interfaces,intermediate,Alternative Classes with Different Interfaces,1,0,30,3,Magic Numbers/Strings,0,,codellama-7b,en
python,alternative_classes_different_interfaces_intermediate_002,alternative_classes_different_interfaces,intermediate,Alternative Classes with Different Interfaces,1,0,20,0,,0,,codellama-7b,en
