prompt_id,category,level,domain,target_smells,syntax_ok,loc,cc_max,mi,ruff_total,undefined_name,unused_var,n_smells,smells_found,target_covered,target_hit,model,lang
alternative_classes_different_interfaces_advanced_001,alternative_classes_different_interfaces,advanced,Finance,Alternative Classes with Different Interfaces,1,14,2,100.0,0,0,0,7,Duplicated Code;Lazy Class;Long Parameter List,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_002,alternative_classes_different_interfaces,advanced,Healthcare,Alternative Classes with Different Interfaces,1,40,2,100.0,2,0,0,18,Comments (as smell indicator);Dead Code;Duplicated Code;Global State;Lazy Class;Long Method,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_003,alternative_classes_different_interfaces,advanced,Scientific Computing,Alternative Classes with Different Interfaces,1,14,2,100.0,0,0,0,5,Duplicated Code;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_004,alternative_classes_different_interfaces,advanced,General Software,Alternative Classes with Different Interfaces,1,33,2,100.0,9,8,0,13,Duplicated Code;Feature Envy;Magic Numbers/Strings;Message Chains,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_005,alternative_classes_different_interfaces,advanced,E-commerce,Alternative Classes with Different Interfaces,1,41,2,100.0,4,4,0,9,Duplicated Code;Global State;Long Parameter List;Magic Numbers/Strings,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_001,alternative_classes_different_interfaces,basic,E-commerce,Alternative Classes with Different Interfaces,1,19,2,100.0,2,0,0,7,Duplicated Code;Global State;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_002,alternative_classes_different_interfaces,basic,Finance,Alternative Classes with Different Interfaces,1,9,2,100.0,0,0,0,3,Duplicated Code;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_003,alternative_classes_different_interfaces,basic,Healthcare,Alternative Classes with Different Interfaces,1,44,2,100.0,0,0,0,8,Data Clumps;Duplicated Code;Global State;Long Parameter List,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_004,alternative_classes_different_interfaces,basic,Scientific Computing,Alternative Classes with Different Interfaces,1,30,2,65.3,3,2,0,3,Dead Code;Global State,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_005,alternative_classes_different_interfaces,basic,General Software,Alternative Classes with Different Interfaces,1,27,2,100.0,2,0,0,7,Data Class;Duplicated Code;Global State,0,,codellama-7b,en
